,port_1,port_2,port_3,port_4,port_5
Excess_Return%,1.2190804351477065,1.499706496245966,1.4964712429042213,1.1212039586639897,1.0010055603478
p-Excess_Return,0.013034394708767128,0.016781870757043453,0.042240622561202305,0.12371442109984407,0.24358143692022227
CAPM_alpha%,0.7648898491988285,0.8846622458055499,0.7569968143982414,0.3915801335758532,0.15534511709831395
p-CAPM_alpha,0.0003288729967409178,2.5790605691385365e-06,2.177444530067602e-05,0.02623123525361679,0.5379288915984088
FF3_alpha%,0.8335254779092446,1.0559885907959679,0.8946827697479836,0.38230274440608464,0.08221671432359118
p-FF3_alpha,0.000109995163576696,1.0794559975331724e-07,1.4148329766847401e-06,0.014224582447060324,0.750692445877684
Carhart4_alpha%,0.8313536251451824,1.1019784006690811,0.8994373180445693,0.4031969237138891,0.1416010155778121
p-Carhart4_alpha,0.00032058938074325857,4.1460983372077514e-08,1.5723542397575402e-06,0.011106316241690404,0.6061758448062771
FF5_alpha%,0.7746042390625074,1.0350955880371282,0.8843664875038397,0.464583718048599,0.2702633478746452
p-FF5_alpha,0.0018723973930506526,4.091870034138376e-06,6.490072038115736e-07,0.006244795498039755,0.2971716199727278
LSY3_alpha%,0.8434431655596095,0.8851259125414537,1.0000553371700476,0.9027532196343838,0.9590576536267585
p-LSY3_alpha,0.001255120781488407,1.6270466067661087e-05,1.2224462170019137e-11,1.279540167743384e-06,0.00011305923295413456
LSY4_alpha%,0.7950063359505093,0.7616826752217063,0.9469288107334026,0.9397400055832397,1.1051681437969008
p-LSY4_alpha,0.003373032777431174,0.0003122191339124671,5.142978029010185e-10,1.4558404272120629e-06,4.635805877824711e-05
beta (ex ante),0.603603553706255,0.9488708798901494,1.1084422709906454,1.2379595118803137,1.4338273083602735
beta (realized),0.7034549192787872,0.952586682620373,1.1453053861225377,1.1300486730894619,1.3097673471160156
volatility%,21.71551449780179,27.735052994201244,32.58461385270561,32.21265515717216,37.965747561058684
Sharpe Ratio,0.6736642239470464,0.6488712301618548,0.551108415647515,0.41767583076653775,0.3163922086574249
